Address,Price,Size,Room Count
"Neukölln (Ortsteil), Berlin",1.280 €,72 m²,"<span class=""onlyLarge"">2</span>"
"Rathenower Str. 13, Moabit, Berlin",1.800 €,"73,31 m²","<span class=""onlyLarge"">3</span>"
"Clayallee 348B, Zehlendorf, Berlin",1.259 €,"69,95 m²","<span class=""onlyLarge"">3,5</span>"
"An der Villa Bolle 3A, Köpenick, Berlin","1.575,79 €","101,37 m²","<span class=""onlyLarge"">4</span>"
"Wendenschloßstr. 262, Köpenick, Berlin","1.837,26 €","115,85 m²","<span class=""onlyLarge"">4</span>"
"Wendenschloßstr. 262, Köpenick, Berlin","1.421,24 €","88,29 m²","<span class=""onlyLarge"">4</span>"
"Stendaler Straße 71, Hellersdorf, Berlin",639 €,"53,98 m²","<span class=""onlyLarge"">2</span>"
"Genter Straße 4, Wedding, Berlin",1.100 €,125 m²,"<span class=""onlyLarge"">5</span>"
"Hektorstrasse 5, Halensee, Berlin",1.850 €,115 m²,"<span class=""onlyLarge"">3</span>"
"Thomasstraße 5, Neukölln (Ortsteil), Berlin",1.300 €,"63,85 m²","<span class=""onlyLarge"">3</span>"
"Teichmummelring 67, Grünau, Berlin","1.426,87 €","95,66 m²","<span class=""onlyLarge"">3</span>"
"Nikolassee, Berlin",3.950 €,211 m²,"<span class=""onlyLarge"">6</span>"
"Windscheidstraße 4, Charlottenburg, Berlin",1.370 €,55 m²,"<span class=""onlyLarge"">2</span>"
"Moabit, Berlin",500 €,50 m²,"<span class=""onlyLarge"">2</span>"
"Charlottenburg, Berlin",470 €,72 m²,"<span class=""onlyLarge"">2</span>"
"Pankow (Ortsteil), Berlin",516 €,50 m²,"<span class=""onlyLarge"">2</span>"
"Schöneberg, Berlin",500 €,74 m²,"<span class=""onlyLarge"">2</span>"
"Moabit, Berlin",496 €,82 m²,"<span class=""onlyLarge"">2,5</span>"
"Gesundbrunnen, Berlin",627 €,72 m²,"<span class=""onlyLarge"">3</span>"
"Charlottenburg-Nord, Berlin",488 €,60 m²,"<span class=""onlyLarge"">2</span>"
"Wedding, Berlin",666 €,49 m²,"<span class=""onlyLarge"">2</span>"
"Friedrichshain, Berlin",750 €,85 m²,"<span class=""onlyLarge"">2</span>"
"Friedrichshain, Berlin",800 €,60 m²,"<span class=""onlyLarge"">2</span>"
"Prenzlauer Berg, Berlin",627 €,66 m²,"<span class=""onlyLarge"">3</span>"
"Prenzlauer Berg, Berlin",600 €,90 m²,"<span class=""onlyLarge"">3</span>"
"Kreuzberg, Berlin",500 €,49 m²,"<span class=""onlyLarge"">2</span>"
"Kreuzberg, Berlin",650 €,54 m²,"<span class=""onlyLarge"">2</span>"
"Prenzlauer Berg, Berlin",700 €,79 m²,"<span class=""onlyLarge"">3</span>"
"Neukölln (Ortsteil), Berlin",426 €,70 m²,"<span class=""onlyLarge"">2</span>"
"Neukölln (Ortsteil), Berlin",630 €,95 m²,"<span class=""onlyLarge"">3</span>"
"Niederschönhausen, Berlin",888 €,74 m²,"<span class=""onlyLarge"">2</span>"
"Keibelstraße 38, Mitte (Ortsteil), Berlin",1.200 €,"33,38 m²","<span class=""onlyLarge"">1,5</span>"
"Moabit, Berlin",460 €,36 m²,"<span class=""onlyLarge"">1</span>"
"Charlottenburg, Berlin",2.000 €,89 m²,"<span class=""onlyLarge"">2,5</span>"
"Schöneberg, Berlin",590 €,54 m²,"<span class=""onlyLarge"">2</span>"
"Wedding, Berlin",402 €,50 m²,"<span class=""onlyLarge"">2</span>"
"Prenzlauer Berg, Berlin",600 €,52 m²,"<span class=""onlyLarge"">2</span>"
"Kreuzberg, Berlin",350 €,46 m²,"<span class=""onlyLarge"">1</span>"
"Köpenick, Berlin",690 €,50 m²,"<span class=""onlyLarge"">1,5</span>"
"Neukölln (Ortsteil), Berlin",450 €,42 m²,"<span class=""onlyLarge"">1</span>"
"Zimmerstraße 94, Mitte (Ortsteil), Berlin",3.400 €,"119,44 m²","<span class=""onlyLarge"">4</span>"
"Kastanienallee 76, Prenzlauer Berg, Berlin",1.900 €,70 m²,"<span class=""onlyLarge"">2</span>"
"Düsseldorfer Str. 49, Wilmersdorf, Berlin",2.800 €,97 m²,"<span class=""onlyLarge"">3</span>"
"Johannisstraße 3, Mitte (Ortsteil), Berlin",1.899 €,86 m²,"<span class=""onlyLarge"">3</span>"
"Pankow (Ortsteil), Berlin",280 €,65 m²,"<span class=""onlyLarge"">3</span>"
"Moabit, Berlin",480 €,17 m²,"<span class=""onlyLarge"">1</span>"
"Charlottenburg, Berlin",450 €,33 m²,"<span class=""onlyLarge"">1</span>"
"Schöneberg, Berlin",1.250 €,70 m²,"<span class=""onlyLarge"">3</span>"
"Gesundbrunnen, Berlin",1.035 €,85 m²,"<span class=""onlyLarge"">3</span>"
"Friedrichshain, Berlin",800 €,25 m²,"<span class=""onlyLarge"">1</span>"
"Mitte (Ortsteil), Berlin",700 €,77 m²,"<span class=""onlyLarge"">3</span>"
"Prenzlauer Berg, Berlin",260 €,48 m²,"<span class=""onlyLarge"">2</span>"
"Kreuzberg, Berlin",310 €,40 m²,"<span class=""onlyLarge"">2</span>"
"Mitte (Ortsteil), Berlin",2.700 €,150 m²,"<span class=""onlyLarge"">5</span>"
"Neukölln (Ortsteil), Berlin",655 €,82 m²,"<span class=""onlyLarge"">3</span>"
"Leonore-Goldschmidt-Straße 3 3, Schmargendorf, Berlin",2.045 €,"102,11 m²","<span class=""onlyLarge"">4</span>"
"Helene-Jacobs-Straße 12 12, Schmargendorf, Berlin","2.420,04 €","114,24 m²","<span class=""onlyLarge"">4</span>"
"Kladow, Berlin",1.520 €,95 m²,"<span class=""onlyLarge"">2</span>"
"Karl-Marx-Straße 183, Neukölln (Ortsteil), Berlin",1.798 €,62 m²,"<span class=""onlyLarge"">1</span>"
"Dörpfeldstr. 5, Adlershof, Berlin","1.049,97 €","48,7 m²","<span class=""onlyLarge"">2</span>"
"Charlottenburg, Berlin",2.250 €,75 m²,"<span class=""onlyLarge"">3</span>"
